排名,股票代码,股票名称,资产垫等级,保守资产垫比率,宽松资产垫比率,自由现金流(元),资本开支率,兑现路径,资产垫得分,经营安全得分,兑现安全得分,综合评分,资产垫连续加分,经营安全连续调整,兑现安全连续加分,次级排序得分,评分模式
1,000983,山西焦煤,FAIL,-1.3236,-0.3463,"548,861,081",0.0000,DIVIDEND,0.00,100.00,67.76,50.33,0.00,15.00,7.76,0.4401,continuous
2,601919,中远海控,FAIL,-0.2232,0.5754,"11,124,842,135",0.0000,DIVIDEND,0.00,100.00,67.44,50.23,0.00,15.00,7.44,0.5113,continuous
3,002304,洋河股份,FAIL,0.0289,0.1852,"1,938,711,724",0.0000,DIVIDEND,0.00,100.00,67.22,50.17,0.00,15.00,7.22,0.5096,continuous
4,600188,兖矿能源,FAIL,-1.1368,-0.2838,"6,182,253,000",0.0000,DIVIDEND,0.00,100.00,66.74,50.02,0.00,15.00,6.74,0.4486,continuous
5,601006,大秦铁路,FAIL,-0.0390,0.1390,"694,558,501",0.0000,DIVIDEND,0.00,100.00,65.38,49.62,0.00,15.00,5.38,0.5048,continuous
6,002027,分众传媒,FAIL,-0.0177,0.0427,"2,138,751,358",0.0000,DIVIDEND,0.00,100.00,64.53,49.36,0.00,15.00,4.53,0.5026,continuous
7,603195,公牛集团,FAIL,-0.0258,0.0456,"1,699,187,932",0.0000,DIVIDEND,0.00,100.00,64.40,49.32,0.00,15.00,4.40,0.5024,continuous
8,601225,陕西煤业,FAIL,-0.2546,0.0692,"9,677,280,198",0.0000,DIVIDEND,0.00,100.00,64.33,49.30,0.00,15.00,4.33,0.4939,continuous
9,601328,交通银行,FAIL,-25.2123,-1.1042,"108,879,000,000",0.0866,DIVIDEND,0.00,100.00,63.41,49.02,0.00,12.40,3.41,0.2688,continuous
10,601166,兴业银行,FAIL,-27.7000,-2.3266,"63,705,000,000",0.0316,DIVIDEND,0.00,100.00,63.05,48.91,0.00,14.05,3.05,0.2321,continuous
11,000651,格力电器,FAIL,-0.4422,0.2495,"7,798,541,802",0.0000,DIVIDEND,0.00,100.00,62.83,48.85,0.00,15.00,2.83,0.4916,continuous
12,601169,北京银行,FAIL,-41.2318,-5.7089,"63,864,000,000",0.0009,DIVIDEND,0.00,100.00,62.70,48.81,0.00,14.97,2.70,0.1518,continuous
13,601916,浙商银行,FAIL,-42.6105,-6.7559,"99,677,000,000",0.0172,DIVIDEND,0.00,100.00,62.35,48.71,0.00,14.49,2.35,0.1518,continuous
14,601088,中国神华,FAIL,-0.1098,0.0022,"17,363,000,000",0.0000,DIVIDEND,0.00,100.00,62.26,48.68,0.00,15.00,2.26,0.4974,continuous
15,601009,南京银行,FAIL,-21.5523,-3.2218,"33,116,988,000",0.0024,DIVIDEND,0.00,100.00,61.86,48.56,0.00,14.93,1.86,0.2051,continuous
16,000999,华润三九,FAIL,-0.3636,-0.0435,"1,056,054,994",0.0000,DIVIDEND,0.00,100.00,61.86,48.56,0.00,15.00,1.86,0.4859,continuous
17,000568,泸州老窖,FAIL,0.1154,0.1884,"4,543,022,746",0.0000,DIVIDEND,0.00,100.00,61.85,48.55,0.00,15.00,1.85,0.5120,continuous
18,000895,双汇发展,FAIL,-0.1626,-0.0807,"1,003,388,713",0.0000,DIVIDEND,0.00,100.00,61.72,48.52,0.00,15.00,1.72,0.4928,continuous
19,000001,平安银行,FAIL,-25.7413,-2.5012,"37,630,000,000",0.0046,DIVIDEND,0.00,100.00,61.59,48.48,0.00,14.86,1.59,0.2266,continuous
20,600048,保利发展,FAIL,-9.6590,-1.8883,"8,673,121,745",0.0000,DIVIDEND,0.00,100.00,61.40,48.42,0.00,15.00,1.40,0.2450,continuous
21,600585,海螺水泥,FAIL,-0.0593,0.1618,"325,689,774",0.0000,DIVIDEND,0.00,100.00,61.37,48.41,0.00,15.00,1.37,0.5041,continuous
22,601825,沪农商行,FAIL,-17.5511,-1.4526,"7,131,603,000",0.0206,DIVIDEND,0.00,100.00,60.73,48.22,0.00,14.38,0.73,0.2580,continuous
23,601658,邮储银行,FAIL,-30.7555,-0.4014,"306,208,000,000",0.0053,DIVIDEND,0.00,100.00,60.62,48.19,0.00,14.84,0.62,0.2895,continuous
24,600036,招商银行,FAIL,-12.8425,-0.1501,"120,425,000,000",0.0431,DIVIDEND,0.00,100.00,60.15,48.04,0.00,13.71,0.15,0.2970,continuous
25,600219,南山铝业,FAIL,0.2211,0.3596,"1,052,313,843",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5208,continuous
26,601888,中国中免,FAIL,0.1095,0.2626,"3,890,593,864",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5129,continuous
27,000596,古井贡酒,FAIL,0.0217,0.2726,"1,911,371,366",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5104,continuous
28,600085,同仁堂,FAIL,0.0416,0.2435,"942,499,765",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5096,continuous
29,601298,青岛港,FAIL,-0.0412,0.1918,"1,102,025,880",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5053,continuous
30,300760,迈瑞医疗,FAIL,0.0156,0.0915,"1,381,035,479",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5046,continuous
31,603369,今世缘,FAIL,-0.0638,0.1682,"2,113,832,763",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5035,continuous
32,300896,爱美客,FAIL,0.0259,0.0456,"252,020,540",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5035,continuous
33,600938,中国海油,FAIL,-0.0378,0.1088,"55,148,000,000",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5028,continuous
34,605499,东鹏饮料,FAIL,-0.0138,0.0776,"452,489,461",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5024,continuous
35,600600,青岛啤酒,FAIL,-0.0810,0.1573,"2,996,964,504",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5024,continuous
36,600519,贵州茅台,FAIL,0.0060,0.0292,"26,909,891,269",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5023,continuous
37,000538,云南白药,FAIL,-0.0558,0.1003,"829,016,119",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5022,continuous
38,300628,亿联网络,FAIL,0.0036,0.0206,"253,265,357",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5021,continuous
39,300979,华利集团,FAIL,-0.0303,0.0530,"499,717,500",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5019,continuous
40,600809,山西汾酒,FAIL,-0.0394,0.0781,"8,253,609,930",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5018,continuous
41,605117,德业股份,FAIL,-0.0286,0.0276,"1,830,652,556",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.5003,continuous
42,002422,科伦药业,FAIL,-0.0990,0.0770,"249,611,317",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.4991,continuous
43,600845,宝信软件,FAIL,-0.0939,0.0519,"539,237,654",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.4988,continuous
44,600660,福耀玻璃,FAIL,-0.0923,0.0302,"357,002,919",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.4982,continuous
45,000661,长春高新,FAIL,-0.0877,0.0204,"1,097,974,737",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.4981,continuous
46,600066,宇通客车,FAIL,-0.1586,0.0807,"3,493,731,164",0.0000,DIVIDEND,0.00,100.00,60.00,48.00,0.00,15.00,0.00,0.4974,continuous
